;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000158486.15;2;2;0;2;2;2;4;2;5;3
ENSG00000289640.1;0;1;0;0;1;0;0;0;0;0
ENSG00000263331.1;0;0;0;0;0;0;3;1;0;1
ENSG00000011638.11;850;1507;1066;1345;1423;1419;1527;1458;1471;1338
ENSG00000262983.1;0;0;0;0;0;0;0;0;0;0
ENSG00000103310.11;0;0;0;0;1;0;0;0;0;0
ENSG00000289978.1;0;0;0;0;0;0;0;0;0;0
ENSG00000175311.7;0;0;0;0;1;0;0;0;0;0
ENSG00000103316.12;9;7;2;11;2;10;11;3;12;14
ENSG00000283421.1;0;3;0;0;0;0;0;0;0;0
ENSG00000189149.12;7;11;1;4;3;4;6;7;10;2
ENSG00000257403.2;0;0;0;1;1;0;1;1;0;0
ENSG00000158482.10;0;1;1;0;4;0;2;2;0;3
ENSG00000290192.1;0;0;0;0;0;0;0;0;0;0
ENSG00000276548.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169246.17;39;75;39;60;51;59;49;71;63;39
ENSG00000291073.1;22;47;31;25;42;25;27;13;13;19
ENSG00000180747.16;0;0;0;0;0;0;0;0;0;0
ENSG00000265462.1;0;0;1;1;0;0;0;0;0;2
ENSG00000287809.1;1;8;8;5;8;5;4;9;0;9
ENSG00000258186.2;0;0;0;0;0;0;0;0;0;0
ENSG00000273956.1;0;0;0;1;0;0;0;0;0;0
ENSG00000257639.1;0;0;0;0;2;0;0;0;0;0
ENSG00000271609.1;0;0;0;0;0;0;0;0;0;0
ENSG00000252798.1;0;0;0;0;0;0;0;0;0;0
ENSG00000197006.15;2262;4299;3354;3617;3588;4056;3808;3539;3157;2982
ENSG00000261596.2;0;4;7;8;3;4;5;1;6;2
ENSG00000140749.9;3;7;3;2;4;3;1;27;14;12
ENSG00000207248.1;1;4;0;0;0;0;0;0;1;1
ENSG00000207042.1;0;0;0;0;0;0;0;0;0;0
ENSG00000155719.18;0;0;4;0;0;0;2;1;0;0
ENSG00000260306.1;0;2;0;0;2;1;10;8;4;5
ENSG00000291066.1;62;99;45;41;69;45;54;111;44;73
ENSG00000248124.11;0;0;0;0;0;0;0;0;0;0
ENSG00000276721.1;0;0;0;0;0;0;0;0;0;0
ENSG00000185864.18;65;108;75;74;115;116;67;63;61;40
ENSG00000185710.10;0;1;0;1;0;2;1;1;1;0
ENSG00000291262.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290674.1;0;0;0;0;0;0;0;0;0;0
ENSG00000257408.3;0;0;0;0;0;0;0;0;0;0
ENSG00000290675.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274460.2;9;25;7;14;11;9;18;14;15;17
ENSG00000140740.11;2814;5340;3888;4657;4579;4556;4327;4330;4185;3397
ENSG00000155714.14;0;0;0;2;1;0;1;0;0;0
ENSG00000260395.1;0;0;0;0;0;0;0;0;0;0
ENSG00000275445.1;4;0;2;0;2;3;0;0;2;0
ENSG00000185716.12;404;660;549;637;626;559;407;546;552;528
ENSG00000260277.2;0;2;1;0;2;0;0;2;3;0
ENSG00000175267.15;1;4;3;1;4;4;5;1;5;3
ENSG00000183921.8;0;2;0;0;4;1;1;0;0;0
ENSG00000287739.1;0;1;0;0;0;0;0;0;0;0
ENSG00000103319.12;1070;2198;1333;1675;1744;1454;1497;1910;1475;1528
ENSG00000261113.1;0;0;0;0;0;0;0;0;0;0
ENSG00000058600.16;641;1217;775;893;1034;961;1019;977;882;814
ENSG00000286808.1;7;11;6;11;4;17;2;6;4;11
ENSG00000140743.8;1060;2082;1546;1945;1823;1839;1970;2015;2290;2166
ENSG00000260635.1;2;0;2;6;0;6;0;3;8;1
ENSG00000260790.1;1;1;0;0;2;0;1;4;2;0
ENSG00000230872.2;3;4;3;4;5;4;4;7;5;3
ENSG00000290865.1;47;113;88;75;76;65;100;79;99;105
ENSG00000257122.6;0;0;0;0;0;0;0;0;0;0
ENSG00000291060.1;0;0;3;5;4;0;1;1;0;0
ENSG00000237296.12;0;0;0;0;0;0;0;0;0;0
ENSG00000243716.12;140;302;187;213;246;252;172;168;124;106
ENSG00000277041.1;0;0;0;0;0;0;0;0;1;0
ENSG00000290866.1;0;0;1;0;1;0;0;0;0;0
ENSG00000257838.6;0;0;0;0;0;0;0;0;0;0
ENSG00000260973.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260905.1;1;1;0;0;0;0;0;0;0;0
ENSG00000283213.1;0;0;0;0;0;0;3;2;0;0
ENSG00000122254.7;0;6;3;4;3;0;78;55;35;56
ENSG00000261090.2;0;0;0;0;0;0;0;0;0;0
ENSG00000260566.2;0;0;0;0;0;0;0;0;0;0
ENSG00000103404.15;367;645;431;564;552;427;503;746;563;572
ENSG00000280400.1;0;0;0;0;0;0;0;0;0;0
ENSG00000285613.1;0;0;0;0;0;0;0;0;0;0
ENSG00000166828.3;0;0;0;0;0;0;0;0;0;0
ENSG00000260741.1;0;0;0;0;0;0;0;0;0;0
ENSG00000168447.11;0;0;0;0;1;0;0;0;0;0
ENSG00000168434.13;482;996;701;710;833;695;904;785;690;623
ENSG00000280039.1;8;3;4;5;1;2;3;2;5;4
ENSG00000212593.1;0;0;0;0;0;0;0;0;0;0
ENSG00000259782.2;0;0;0;1;2;1;1;1;0;1
ENSG00000260136.6;17;41;23;30;37;36;33;10;14;7
ENSG00000103365.15;1203;2270;1259;1561;1903;1417;1841;2142;1909;1777
ENSG00000261528.2;0;0;0;0;1;1;0;0;2;1
ENSG00000103356.18;546;996;671;760;836;654;901;1025;937;786
ENSG00000260247.1;0;0;0;0;1;0;1;0;0;0
ENSG00000103353.16;3337;6357;4172;5244;5312;4556;3755;4728;4376;3795
ENSG00000260751.2;7;15;13;21;15;22;14;13;12;7
ENSG00000004779.10;1004;1654;1373;1669;1412;1601;1620;1183;1207;971
ENSG00000083093.11;282;462;267;325;402;307;320;408;380;325
ENSG00000261723.1;1;0;2;3;0;0;3;2;2;3
ENSG00000166847.10;2945;5461;3942;4722;4703;4205;4079;4619;4381;3801
ENSG00000260482.3;0;0;0;0;0;0;0;0;0;0
ENSG00000166851.15;483;951;549;595;813;861;1105;964;562;511
ENSG00000261266.2;0;0;0;1;1;0;0;0;1;0
ENSG00000134398.15;0;3;0;0;1;0;3;1;3;2
ENSG00000278912.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261583.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279756.1;0;0;0;0;0;0;0;0;0;0
ENSG00000166869.3;0;0;0;0;0;0;0;0;1;0
ENSG00000166501.14;0;1;0;0;0;0;1;4;5;0
ENSG00000279276.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279202.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274466.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279554.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260264.1;0;0;0;0;0;0;0;0;0;0
ENSG00000006116.4;3;0;0;0;0;0;0;0;0;0
ENSG00000201541.1;0;0;0;0;0;0;0;0;0;0
ENSG00000239081.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260072.1;0;1;0;0;0;0;0;0;0;0
ENSG00000122257.20;1213;2221;1198;1366;1832;1060;1164;1743;1288;1196
ENSG00000289171.1;4;6;3;0;6;0;0;2;2;2
ENSG00000090905.19;1407;2562;1355;1720;2160;1334;1498;2483;1802;1727
ENSG00000224310.1;1;0;0;0;0;0;2;0;0;0
ENSG00000261669.1;1;3;1;7;9;2;3;0;3;3
ENSG00000158865.13;2;5;2;2;0;2;0;1;2;1
ENSG00000140750.17;1398;2564;2047;2327;2129;2437;2321;2473;2103;2056
ENSG00000260714.1;3;1;0;0;0;0;0;1;0;1
ENSG00000291179.1;4;3;1;0;2;4;4;3;5;0
ENSG00000262587.5;0;0;1;0;2;0;0;1;0;0
ENSG00000262155.2;25;45;27;26;44;17;24;37;19;17
ENSG00000271105.1;1;1;0;0;5;4;7;0;1;3
ENSG00000263326.1;11;5;6;1;12;3;6;7;11;9
ENSG00000260448.7;28;13;17;15;23;17;8;16;8;4
ENSG00000262700.1;0;6;0;0;3;0;0;0;0;0
ENSG00000275494.2;15;21;25;24;29;26;15;18;13;4
ENSG00000205629.12;537;1048;730;899;819;894;1216;865;920;773
ENSG00000260034.1;4;6;5;6;1;5;3;8;5;6
ENSG00000266166.2;0;0;0;0;0;0;0;0;0;0
ENSG00000103375.11;1;1;0;0;3;0;0;0;0;0
ENSG00000155592.16;161;345;163;202;315;181;260;370;217;251
ENSG00000259955.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274925.1;9;22;17;12;17;9;16;19;18;7
ENSG00000261636.2;0;0;0;0;0;0;0;0;0;0
ENSG00000260690.1;0;0;0;0;0;0;0;0;0;0
ENSG00000182601.7;0;1;0;0;0;0;0;0;0;0
ENSG00000285882.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260255.1;0;0;0;0;0;0;0;0;0;0
ENSG00000265005.1;0;0;0;0;0;0;0;0;0;0
ENSG00000199929.1;0;0;0;0;0;0;0;0;0;0
ENSG00000230330.1;43;97;51;70;69;51;85;59;57;48
ENSG00000237140.2;0;0;0;0;0;0;0;0;0;0
ENSG00000231876.8;0;0;0;0;0;0;0;0;0;0
ENSG00000228480.1;0;1;0;0;0;0;0;0;0;0
ENSG00000286712.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236481.2;0;0;0;0;0;0;0;0;0;0
ENSG00000260580.1;0;0;0;0;0;0;0;0;0;0
ENSG00000234186.5;0;0;0;0;0;0;0;0;0;0
ENSG00000261482.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261557.1;0;0;0;4;0;2;1;3;1;0
ENSG00000261045.2;1;1;1;1;1;5;1;0;0;1
ENSG00000155666.12;64;121;69;89;100;85;75;90;66;66
ENSG00000259940.2;6;9;4;1;15;4;3;4;9;5
ENSG00000169189.17;602;1277;980;1237;954;1182;1216;942;962;813
ENSG00000245888.7;3;10;7;6;3;1;8;3;4;9
ENSG00000274092.1;3;2;0;0;1;0;0;0;0;0
ENSG00000077238.14;1037;2083;1598;1925;1646;1935;1199;1226;1337;1180
ENSG00000103522.17;60;162;75;119;145;88;38;27;42;30
ENSG00000259954.1;0;1;0;2;3;0;0;0;0;0
ENSG00000077235.18;3399;6928;3834;4395;5750;3742;4547;5136;4178;3633
ENSG00000047578.14;756;1553;967;1111;1301;984;1113;1415;1063;1091
ENSG00000261736.1;0;0;0;0;3;0;0;0;0;0
ENSG00000261329.7;8;10;1;0;1;4;4;4;5;5
ENSG00000273553.1;0;0;0;0;0;0;0;0;0;0
ENSG00000201371.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169181.13;0;0;0;0;0;0;0;0;0;0
ENSG00000212382.1;0;0;0;0;0;0;0;0;0;0
ENSG00000207266.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169180.12;3396;6873;5322;6296;5672;5727;5947;6189;5874;4943
ENSG00000260452.1;0;0;0;0;0;0;0;1;3;0
ENSG00000200652.1;0;0;1;0;0;0;0;0;0;0
ENSG00000200138.1;0;0;0;0;0;0;0;0;0;0
ENSG00000250982.2;0;0;0;0;0;0;0;0;0;0
ENSG00000283662.1;0;0;0;0;0;0;0;0;0;0
ENSG00000188322.8;1;5;0;2;9;0;5;2;2;2
ENSG00000246465.1;0;0;1;0;0;0;0;0;0;0
ENSG00000277191.1;0;0;0;0;0;0;0;0;0;0
ENSG00000198156.11;2;12;3;4;9;10;4;4;5;2
ENSG00000271623.1;0;0;0;0;1;0;0;0;0;0
ENSG00000205609.13;98;253;151;140;208;212;110;149;71;108
ENSG00000275429.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261089.1;4;16;2;5;13;4;1;3;1;3
ENSG00000275654.1;0;0;0;0;0;0;0;0;0;0
ENSG00000270118.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233232.8;0;0;1;3;1;0;0;3;0;2
ENSG00000261832.6;0;0;0;0;0;0;0;4;0;1
ENSG00000188603.22;10;18;8;16;14;4;22;19;5;24
ENSG00000184730.12;3;3;3;2;3;3;16;11;12;6
ENSG00000197272.2;0;0;0;0;0;1;0;0;0;0
ENSG00000176046.9;652;1554;823;954;1245;1064;2198;1590;1350;1264
ENSG00000289754.1;0;0;0;0;0;0;0;0;0;0
ENSG00000271495.1;0;0;0;0;0;0;0;0;0;0
ENSG00000275441.2;2;2;1;2;2;0;1;0;0;0
ENSG00000176476.9;103;214;118;144;187;139;233;197;172;132
ENSG00000197165.11;8;13;5;5;10;5;8;5;11;5
ENSG00000288656.2;0;0;0;0;0;0;0;0;0;0
ENSG00000278665.1;0;0;0;0;0;0;1;0;0;0
ENSG00000278725.1;0;1;0;0;0;0;0;0;0;0
ENSG00000196502.14;22;54;27;27;48;30;12;10;10;6
ENSG00000289755.1;1;0;1;1;3;0;0;0;0;0
ENSG00000285020.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289756.1;0;0;0;0;0;0;0;0;0;0
ENSG00000255524.8;0;3;0;0;0;0;0;1;0;0
ENSG00000261419.1;1;3;1;0;0;2;0;0;0;0
ENSG00000184110.15;518;1143;730;878;965;773;611;666;520;497
ENSG00000259982.1;9;18;2;8;9;5;6;4;1;3
ENSG00000278340.1;0;0;0;0;0;0;0;0;0;0
ENSG00000270424.1;3;1;1;0;3;1;1;0;1;1
ENSG00000196993.9;1;3;1;1;2;1;4;0;0;0
ENSG00000278528.1;0;0;0;0;0;0;0;0;0;0
ENSG00000251417.2;14;16;7;14;14;11;9;12;11;15
ENSG00000240634.1;1;1;0;0;1;0;7;1;2;1
ENSG00000260796.1;3;2;0;3;6;0;0;5;0;1
ENSG00000275807.1;24;70;28;16;41;21;12;23;15;29
ENSG00000168488.19;2390;4938;2687;3343;4043;3591;3648;3811;3199;2819
ENSG00000260570.1;0;0;0;0;0;0;0;0;0;0
ENSG00000178952.11;4011;8097;5697;6529;6716;6711;7221;6111;5967;4802
ENSG00000283845.1;0;0;0;0;0;0;0;0;0;0
ENSG00000178188.16;940;1908;1204;1384;1508;1360;1492;1452;1201;1197
ENSG00000261766.1;7;15;1;2;8;3;7;4;0;2
ENSG00000260442.7;15;21;12;15;18;8;22;10;8;10
ENSG00000196296.14;12;21;9;12;3;16;11;18;16;6
ENSG00000252461.1;0;0;0;0;0;0;0;0;0;1
ENSG00000177548.13;748;1685;1088;1300;1252;1417;1720;1217;1059;915
ENSG00000177455.15;5;8;0;3;4;9;10;6;2;2
ENSG00000176953.13;1010;1959;981;1205;1612;1068;1350;1653;1195;1092
ENSG00000260853.2;69;129;59;63;102;43;74;81;66;54
ENSG00000284541.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260367.2;3;11;8;4;4;9;18;6;2;3
ENSG00000169682.18;8;9;16;18;12;9;7;7;15;12
ENSG00000261067.7;6;13;3;8;6;10;17;6;4;6
ENSG00000213658.13;4;4;1;1;4;3;5;1;1;2
ENSG00000261552.1;0;0;0;0;0;0;0;0;0;0
ENSG00000196796.5;1;1;0;5;3;0;0;0;0;0
ENSG00000260908.2;0;4;0;0;0;0;0;0;0;0
ENSG00000103472.10;4;4;0;1;4;3;5;1;0;2
ENSG00000284671.1;0;1;0;1;0;0;0;4;0;2
ENSG00000290677.1;0;0;0;0;0;0;0;1;1;0
ENSG00000284649.3;0;0;0;0;0;0;0;0;0;0
ENSG00000291188.1;12;8;1;9;10;2;4;16;9;7
ENSG00000284685.2;4;10;2;5;5;7;2;2;4;8
ENSG00000260517.3;17;36;18;16;22;24;31;24;24;23
ENSG00000289080.1;1;4;1;3;4;3;2;0;0;0
ENSG00000279106.1;1;2;4;2;11;1;2;3;4;1
ENSG00000259807.2;62;156;70;98;95;70;85;133;98;99
ENSG00000273582.1;0;2;0;1;0;0;0;0;0;0
ENSG00000260953.1;1;2;4;2;1;0;5;2;1;4
ENSG00000277999.1;1;0;0;3;1;0;8;12;0;1
ENSG00000289029.1;3;11;8;3;6;3;13;21;10;8
ENSG00000198106.8;1;3;0;1;5;0;5;5;0;0
ENSG00000260413.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290680.1;0;0;0;0;0;0;0;0;0;0
ENSG00000271699.6;0;0;0;0;0;0;0;0;0;0
ENSG00000278078.1;0;0;0;0;0;0;0;0;0;0
ENSG00000254206.6;35;42;42;41;33;51;40;46;48;35
ENSG00000254634.4;8;3;7;4;7;2;7;5;4;2
ENSG00000288632.1;1;0;1;0;1;2;3;5;2;9
ENSG00000261740.7;17;26;36;36;32;36;13;13;2;17
ENSG00000260335.1;0;0;0;0;0;1;0;0;0;0
ENSG00000183336.9;0;0;0;0;0;0;0;0;0;0
ENSG00000181625.18;0;0;2;1;0;0;3;0;0;0
ENSG00000260280.5;0;0;0;0;0;0;0;0;0;0
ENSG00000213648.11;0;0;1;0;0;0;0;0;0;0
ENSG00000290678.1;0;0;0;0;0;0;0;0;0;0
ENSG00000258150.7;0;0;0;0;0;0;0;0;0;0
ENSG00000279228.3;0;0;0;0;0;0;0;0;0;0
ENSG00000290679.1;0;0;0;0;0;0;0;0;0;0
ENSG00000257691.2;0;0;0;0;0;0;0;0;0;0
ENSG00000257506.1;1;0;0;0;0;0;0;0;0;0
ENSG00000169203.18;19;26;21;19;21;22;24;26;20;8
ENSG00000205534.6;9;24;11;34;13;17;15;21;19;11
ENSG00000279583.1;0;9;4;6;4;5;6;6;3;3
ENSG00000266758.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260727.2;0;0;0;0;0;0;0;0;0;0
ENSG00000260133.1;0;1;0;0;0;1;0;0;0;0
ENSG00000260514.1;0;0;0;0;0;0;0;0;0;0
ENSG00000197471.12;0;1;3;2;0;0;5;6;4;3
ENSG00000103485.19;752;1662;422;486;1424;474;2039;1787;1135;1055
ENSG00000289181.2;0;0;0;0;0;0;0;0;0;1
ENSG00000222375.1;0;0;0;0;0;0;0;0;0;0
ENSG00000185905.4;2;1;0;0;0;0;2;0;1;2
ENSG00000260719.1;0;0;0;0;0;0;0;0;1;0
ENSG00000174992.8;0;0;0;0;0;0;0;0;0;0
ENSG00000079616.14;367;725;371;454;627;546;750;660;380;358
ENSG00000275857.1;0;0;0;0;0;0;0;0;0;0
ENSG00000103495.15;1401;2441;1997;1887;2459;2388;2742;2488;2097;1820
ENSG00000259952.1;0;0;0;0;0;0;0;0;0;0
ENSG00000238045.9;20;23;18;30;12;21;15;13;7;9
ENSG00000280607.1;0;0;0;0;0;0;0;0;0;0
ENSG00000167371.21;12;21;7;10;21;3;19;16;13;10
ENSG00000280893.1;0;0;0;0;0;0;0;0;0;0
ENSG00000280789.2;160;338;208;221;264;201;263;236;223;178
ENSG00000281348.1;3;1;0;0;0;3;0;0;1;0
ENSG00000013364.19;6796;14893;13072;15464;11969;15832;16183;12920;12140;11008
ENSG00000103502.14;2862;5933;4827;5595;5054;6330;6745;5708;6448;5469
ENSG00000278713.1;0;0;0;0;0;0;0;0;0;0
ENSG00000214725.10;1;1;1;6;2;6;6;2;8;7
ENSG00000174938.15;341;784;319;310;639;392;454;377;311;317
ENSG00000174939.11;133;336;192;271;252;287;384;270;199;184
ENSG00000174943.11;285;615;439;510;439;576;662;584;690;581
ENSG00000279789.1;18;27;23;26;29;17;14;15;13;18
ENSG00000247735.2;33;41;14;16;37;14;12;32;12;12
ENSG00000149932.17;1764;3718;2728;3211;3007;3355;3891;3023;2971;2646
ENSG00000149930.18;2615;5480;3585;4212;4292;4096;4360;4530;3558;3313
ENSG00000149929.16;165;302;207;227;241;266;323;280;194;218
ENSG00000169592.15;633;1303;863;1050;1112;1173;1268;1084;954;763
ENSG00000149927.18;4;3;1;0;0;0;3;0;2;1
ENSG00000167194.8;0;0;0;0;0;0;0;0;0;0
ENSG00000149926.14;3;12;11;4;1;4;4;4;5;2
ENSG00000285043.3;59;90;83;87;123;96;65;100;80;75
ENSG00000149925.22;209;529;522;580;442;626;419;426;468;413
ENSG00000274904.1;0;0;0;0;0;0;0;0;0;0
ENSG00000149923.14;2136;4392;3147;3691;3505;3924;4465;3475;3078;2562
ENSG00000149922.12;14;28;12;11;20;11;17;18;9;12
ENSG00000090238.12;971;2067;1075;1233;1563;1372;1722;1300;1346;1082
ENSG00000250616.4;11;24;13;10;24;21;30;14;9;4
ENSG00000102886.15;6;19;3;11;11;8;17;4;10;10
ENSG00000261367.1;2;0;0;0;1;0;1;1;0;0
ENSG00000275371.1;0;4;3;0;5;1;1;4;0;2
ENSG00000102882.12;3343;6713;4938;5725;5483;6423;4797;4125;4369;3616
ENSG00000102879.17;5;25;10;13;18;11;15;16;10;3
ENSG00000261416.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169627.9;0;0;0;0;0;0;0;0;0;0
ENSG00000132207.18;0;0;0;0;0;0;0;0;0;0
ENSG00000213599.10;0;0;0;0;0;0;0;0;0;0
ENSG00000261052.6;0;1;1;2;4;2;0;1;0;2
ENSG00000290692.1;2;13;11;11;13;16;6;11;6;1
ENSG00000258130.9;0;0;0;0;0;0;0;0;0;0
ENSG00000278887.3;0;0;0;0;0;0;0;0;0;0
ENSG00000290693.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261444.1;0;3;0;0;0;0;0;0;0;0
ENSG00000261203.1;0;0;0;0;0;0;0;0;0;0
ENSG00000198064.15;10;24;12;12;20;13;11;26;20;16
ENSG00000183604.17;0;5;2;6;10;0;10;10;14;9
ENSG00000291047.1;0;0;0;0;0;0;0;0;0;0
ENSG00000291266.1;7;10;5;15;11;12;0;4;4;7
ENSG00000273724.1;1;7;1;4;2;2;3;0;0;1
ENSG00000169217.9;1358;2775;1756;1919;2287;1877;2732;2410;1710;1653
ENSG00000260219.4;10;43;14;18;41;13;23;23;17;16
ENSG00000169221.14;1996;4284;2773;3154;3592;3286;3770;3551;2927;2666
ENSG00000274653.1;0;2;2;4;2;0;0;3;0;1
ENSG00000180209.12;3;14;2;0;2;2;6;2;0;2
ENSG00000180035.13;173;383;235;271;316;217;322;321;272;212
ENSG00000180096.13;54;89;59;61;75;80;51;18;34;30
ENSG00000280137.1;0;0;0;0;0;0;0;0;0;0
ENSG00000179965.12;412;806;483;526;745;728;707;499;451;375
ENSG00000199787.1;0;0;0;0;0;0;1;0;0;0
ENSG00000179958.10;504;1077;758;829;895;933;1167;909;776;686
ENSG00000179918.19;1366;2668;1687;2019;2248;1921;2294;2167;2066;1814
ENSG00000202476.1;0;0;0;0;0;0;0;0;0;0
ENSG00000222701.1;0;0;0;0;0;0;0;0;0;0
ENSG00000005844.19;4;6;1;5;2;0;5;7;13;1
ENSG00000261346.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260487.1;0;0;0;0;5;0;2;0;0;5
ENSG00000251706.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261332.1;4;4;0;2;2;0;2;1;0;0
ENSG00000266305.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169957.10;656;1292;816;835;1031;835;1199;993;887;684
ENSG00000261459.1;0;0;0;1;0;0;0;0;0;0
ENSG00000278922.1;8;65;42;46;58;30;20;42;13;29
ENSG00000169955.8;146;313;150;188;315;212;267;233;197;147
ENSG00000235560.4;6;9;5;4;7;5;1;2;2;3
ENSG00000260494.1;0;3;0;0;0;0;0;0;0;0
ENSG00000169951.10;160;321;183;199;243;188;243;236;190;186
ENSG00000229809.9;183;393;232;250;353;275;376;286;285;216
ENSG00000239791.2;2;2;0;1;3;0;8;3;0;0
ENSG00000197162.10;111;259;124;184;221;186;255;228;179;160
ENSG00000260167.1;2;7;0;2;3;2;9;1;0;6
ENSG00000261588.1;0;2;1;0;1;0;0;0;0;0
ENSG00000156853.13;236;487;253;273;317;278;281;319;246;200
ENSG00000289491.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260678.1;0;0;0;1;0;1;1;0;0;0
ENSG00000261680.1;0;0;0;0;0;2;0;0;0;0
ENSG00000260113.3;1;0;0;0;0;0;0;0;0;0
ENSG00000288983.2;13;16;20;11;11;20;20;22;15;18
ENSG00000156858.12;621;1344;861;1017;1021;1070;1064;1012;885;686
ENSG00000156860.16;1947;4105;2507;3098;3378;3299;2915;3071;2636;2537
ENSG00000252074.1;0;0;0;0;0;0;0;0;0;0
ENSG00000261840.5;8;13;6;16;8;10;11;6;7;6
ENSG00000080603.17;170;306;151;197;242;126;120;260;219;202
ENSG00000222287.1;0;0;0;0;0;1;0;1;0;0
ENSG00000282034.2;0;0;1;1;1;0;3;3;0;0
ENSG00000206755.1;0;0;0;0;0;0;0;0;0;0
ENSG00000281991.2;0;0;0;0;0;0;0;0;0;0
ENSG00000260899.1;0;0;0;0;2;7;3;3;3;2
ENSG00000156873.16;392;775;481;471;684;533;696;616;469;406
ENSG00000196118.12;29;62;54;59;38;56;44;41;45;52
ENSG00000103549.22;1379;2882;1880;2254;2342;1809;2389;2638;2082;1851
ENSG00000280211.1;2;7;5;8;10;7;0;3;0;3
ENSG00000102870.6;928;1848;1001;1178;1432;949;1206;1359;1028;1023
ENSG00000274848.1;0;0;0;0;0;1;0;0;0;0
ENSG00000260082.1;0;0;0;0;2;0;0;0;0;0
ENSG00000274678.1;1;0;0;0;0;0;1;0;0;0
ENSG00000099385.12;723;1662;1197;1292;1277;1513;1636;1188;983;941
ENSG00000260083.3;15;34;18;18;28;31;16;28;19;12
ENSG00000265991.1;0;0;0;0;0;0;0;0;0;0
ENSG00000262721.1;0;0;0;0;0;0;0;0;0;0
ENSG00000211591.1;0;0;0;0;0;0;0;0;0;0
ENSG00000150281.7;259;446;222;197;422;307;377;311;227;182
ENSG00000230447.2;0;0;0;0;0;0;2;1;0;0
ENSG00000260852.1;97;158;71;152;135;75;63;132;71;116
ENSG00000099364.18;771;1508;802;880;1135;915;1044;1065;799;731
ENSG00000261487.1;0;1;0;0;0;1;2;0;0;0
ENSG00000175938.7;313;676;380;420;524;443;556;503;523;435
ENSG00000275263.1;5;1;8;6;3;3;5;1;2;5
ENSG00000099381.19;839;1579;882;1061;1397;941;1118;1260;1023;895
ENSG00000279196.1;1;1;6;3;0;0;6;0;0;4
ENSG00000099377.14;173;280;208;278;193;323;376;271;295;251
ENSG00000099365.11;17;33;15;17;28;18;29;23;11;19
ENSG00000103496.15;712;1467;997;1197;1169;1361;1477;1168;1158;1015
ENSG00000260911.2;6;7;9;1;3;4;1;12;5;3
ENSG00000232748.3;22;41;38;26;22;30;26;18;22;14
ENSG00000167394.13;351;712;511;563;573;437;580;576;448;412
ENSG00000261124.1;1;2;0;3;0;0;0;3;0;1
ENSG00000167395.10;738;1322;696;983;1229;764;894;1131;835;651
ENSG00000151006.8;15;24;28;19;17;15;15;16;14;11
ENSG00000255439.6;1;1;2;4;0;0;2;0;0;0
ENSG00000167397.15;340;622;537;708;566;717;789;650;560;520
ENSG00000280160.1;1;3;1;3;4;1;0;2;2;1
ENSG00000103507.14;1766;3618;2443;2707;2971;3189;3149;2751;2560;2119
ENSG00000103510.20;413;842;575;639;684;605;709;768;609;494
ENSG00000262766.1;6;10;0;7;15;13;3;4;4;5
ENSG00000278133.1;113;187;121;164;190;203;162;167;163;131
ENSG00000261385.1;0;0;0;0;0;0;0;0;0;0
ENSG00000052344.16;0;0;0;4;0;0;1;3;0;1
ENSG00000178226.11;40;60;59;49;48;100;39;42;29;36
ENSG00000263343.1;0;0;0;1;0;0;0;0;0;0
ENSG00000262366.1;0;0;0;0;0;0;0;0;0;0
ENSG00000089280.19;2666;5611;3395;4142;4523;4405;5209;4858;3161;2956
ENSG00000260304.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260060.1;0;5;4;0;0;4;3;3;3;2
ENSG00000103490.14;209;416;177;177;355;199;329;213;139;88
